country,country_code,year_week,age_group,new_cases,population,rate_14_day_per_100k,source
Austria,AT,2020-W09,<15yr,0,1278692,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W10,<15yr,0,1278692,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W11,<15yr,10,1278692,0.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W12,<15yr,58,1278692,5.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W13,<15yr,156,1278692,16.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W14,<15yr,104,1278692,20.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W15,<15yr,54,1278692,12.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W16,<15yr,14,1278692,5.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W17,<15yr,21,1278692,2.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W18,<15yr,20,1278692,3.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W19,<15yr,6,1278692,2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W20,<15yr,26,1278692,2.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W21,<15yr,25,1278692,4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W22,<15yr,28,1278692,4.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W23,<15yr,33,1278692,4.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W24,<15yr,22,1278692,4.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W25,<15yr,32,1278692,4.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W26,<15yr,42,1278692,5.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W27,<15yr,109,1278692,11.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W28,<15yr,59,1278692,13.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W29,<15yr,95,1278692,12,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W30,<15yr,82,1278692,13.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W31,<15yr,74,1278692,12.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W32,<15yr,53,1278692,9.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W33,<15yr,77,1278692,10.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W34,<15yr,130,1278692,16.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W35,<15yr,172,1278692,23.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W36,<15yr,229,1278692,31.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W37,<15yr,388,1278692,48.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W38,<15yr,512,1278692,70.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W39,<15yr,470,1278692,76.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W40,<15yr,616,1278692,84.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W41,<15yr,840,1278692,113.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W42,<15yr,970,1278692,141.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W43,<15yr,1363,1278692,182.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W44,<15yr,1879,1278692,253.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W45,<15yr,2037,1278692,306.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W46,<15yr,2919,1278692,387.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W47,<15yr,2641,1278692,434.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W48,<15yr,1874,1278692,353.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W49,<15yr,1216,1278692,241.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W50,<15yr,1003,1278692,173.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W51,<15yr,928,1278692,151,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W09,15-24yr,4,969767,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W10,15-24yr,14,969767,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W11,15-24yr,103,969767,12.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W12,15-24yr,286,969767,40.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W13,15-24yr,437,969767,74.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W14,15-24yr,307,969767,76.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W15,15-24yr,178,969767,50,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W16,15-24yr,54,969767,23.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W17,15-24yr,38,969767,9.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W18,15-24yr,25,969767,6.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W19,15-24yr,36,969767,6.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W20,15-24yr,40,969767,7.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W21,15-24yr,33,969767,7.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W22,15-24yr,23,969767,5.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W23,15-24yr,31,969767,5.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W24,15-24yr,26,969767,5.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W25,15-24yr,50,969767,7.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W26,15-24yr,55,969767,10.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W27,15-24yr,96,969767,15.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W28,15-24yr,112,969767,21.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W29,15-24yr,128,969767,24.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W30,15-24yr,204,969767,34.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W31,15-24yr,203,969767,42,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W32,15-24yr,199,969767,41.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W33,15-24yr,578,969767,80.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W34,15-24yr,662,969767,127.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W35,15-24yr,518,969767,121.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W36,15-24yr,552,969767,110.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W37,15-24yr,962,969767,156.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W38,15-24yr,1304,969767,233.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W39,15-24yr,921,969767,229.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W40,15-24yr,1078,969767,206.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W41,15-24yr,1319,969767,247.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W42,15-24yr,1642,969767,305.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W43,15-24yr,2953,969767,473.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W44,15-24yr,4930,969767,812.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W45,15-24yr,6646,969767,1193.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W46,15-24yr,6324,969767,1337.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W47,15-24yr,4781,969767,1145.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W48,15-24yr,3800,969767,884.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W49,15-24yr,2607,969767,660.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W50,15-24yr,2139,969767,489.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W51,15-24yr,1683,969767,394.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W09,25-49yr,5,3016048,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W10,25-49yr,53,3016048,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W11,25-49yr,411,3016048,15.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W12,25-49yr,1203,3016048,53.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W13,25-49yr,1900,3016048,102.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W14,25-49yr,1093,3016048,99.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W15,25-49yr,592,3016048,55.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W16,25-49yr,217,3016048,26.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W17,25-49yr,159,3016048,12.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W18,25-49yr,128,3016048,9.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W19,25-49yr,109,3016048,7.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W20,25-49yr,173,3016048,9.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W21,25-49yr,128,3016048,10,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W22,25-49yr,88,3016048,7.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W23,25-49yr,92,3016048,6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W24,25-49yr,64,3016048,5.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W25,25-49yr,87,3016048,5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W26,25-49yr,174,3016048,8.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W27,25-49yr,293,3016048,15.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W28,25-49yr,282,3016048,19.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W29,25-49yr,333,3016048,20.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W30,25-49yr,338,3016048,22.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W31,25-49yr,320,3016048,21.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W32,25-49yr,300,3016048,20.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W33,25-49yr,569,3016048,28.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W34,25-49yr,830,3016048,46.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W35,25-49yr,846,3016048,55.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W36,25-49yr,982,3016048,60.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W37,25-49yr,1713,3016048,89.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W38,25-49yr,2195,3016048,129.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W39,25-49yr,1969,3016048,138.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W40,25-49yr,2324,3016048,142.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W41,25-49yr,2869,3016048,172.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W42,25-49yr,3774,3016048,220.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W43,25-49yr,7183,3016048,363.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-W44,25-49yr,12677,3016048,658.5,"TESSy COVID-19, national weekly data"
