"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2021-01-04",344808,1545,37586,23435,4029,128210,699971,198034096,1257838,3692,7930,20560549,177669,8299717,56,256914140,1638082
"2021-01-03",343263,1461,37433,23243,2226,125562,695942,196776258,1001197,3688,7939,20382880,207726,8137391,56,255276058,1444369
"2021-01-02",341802,2395,37309,23133,3051,123614,693716,195775061,1358739,3684,7910,20175154,278680,8091965,56,253831689,2077336
"2021-01-01",339407,2596,37196,23255,4507,125047,690665,194416322,872785,3681,7990,19896474,179852,7950638,56,251754353,1276261
"2020-12-31",336811,3287,37066,23099,4290,125379,686158,193543537,1120447,3672,8003,19716622,223036,7919313,56,250478092,1748878
"2020-12-30",333524,3903,36855,23059,5538,125218,681868,192423090,969115,3653,7931,19493586,225671,7807570,56,248729214,1541423
"2020-12-29",329621,3299,36583,22843,5229,124693,676330,191453975,906276,3635,7883,19267915,195194,7702010,56,247187791,1251638
"2020-12-28",326322,1491,36308,22592,3832,121235,671101,190547699,1181168,3612,7951,19072721,162190,7603260,56,245936153,1540320
"2020-12-27",324831,1402,36164,22447,2302,118720,667269,189366531,1011283,3604,7878,18910531,153194,7530424,56,244395833,1383493
"2020-12-26",323429,1419,36038,22373,2292,117344,664967,188355248,1520750,3593,7809,18757337,189494,7473612,56,243012340,2137261
"2020-12-25",322010,1548,35945,22418,2001,118948,662675,186834498,967085,3592,7831,18567843,125368,7362280,56,240875079,1290774
"2020-12-24",320462,2949,35899,22607,4227,120151,660674,185867413,1267859,3587,7784,18442475,203625,7337694,56,239584305,1928480
"2020-12-23",317513,3379,35695,22489,4829,119463,656447,184599554,1195979,3579,7819,18238850,220834,7234883,56,237655825,1749021
"2020-12-22",314134,3166,35428,22207,4538,117761,651618,183403575,1233256,3554,7838,18018016,189932,7127027,56,235906804,1707778
"2020-12-21",310968,1485,35178,21899,3214,115351,647080,182170319,1612903,3539,7776,17828084,178191,7043814,56,234199026,2076374
"2020-12-20",309483,1633,35030,21763,2382,113601,643866,180557416,1220587,3530,7695,17649893,196017,6935156,56,232122652,1782180
"2020-12-19",307850,2723,34949,21688,3337,113929,641484,179336829,1187210,3529,7790,17453876,202812,6882996,56,230340472,1739586
"2020-12-18",305127,2866,34716,21745,5240,113955,638147,178149619,1536965,3519,7786,17251064,239246,6762700,56,228600886,2197685
"2020-12-17",302261,3438,34485,21910,5133,114459,632907,176612654,1257813,3504,7847,17011818,240156,6681651,56,226403201,1873340
"2020-12-16",298823,3448,34237,21946,4800,113278,627774,175354841,1200449,3488,7778,16771662,231653,6597661,56,224529861,1791968
"2020-12-15",295375,2971,33958,21882,4398,112814,622974,174154392,1328079,3460,7701,16540009,189783,6490879,56,222737893,1781610
"2020-12-14",292404,1358,33693,21456,3569,110549,618576,172826313,1690498,3442,7706,16350226,192466,6399531,56,220956283,2159460
"2020-12-13",291046,1494,33494,21230,2314,109298,615007,171135815,1214420,3432,7535,16157760,185801,6298331,56,218796823,1762480
"2020-12-12",289552,2494,33419,21198,3695,108461,612693,169921395,1164259,3430,7515,15971959,224476,6246808,56,217034343,1810768
"2020-12-11",287058,2749,33237,21010,5444,108108,608998,168757136,1345550,3424,7489,15747483,234817,6135314,56,215223575,1990255
"2020-12-10",284309,3115,32919,21023,4335,107276,603554,167411586,1275443,3394,7442,15512666,218951,5985047,56,213233320,1890064
"2020-12-09",281194,3164,32720,20906,5424,106705,599219,166136143,1265763,3376,7624,15293715,214183,5891885,56,211343256,1810886
"2020-12-08",278030,2703,32406,20483,4309,104623,593795,164870380,1237151,3359,7245,15079532,215112,5788509,56,209532370,1672476
"2020-12-07",275327,1297,32120,20098,3614,102148,589486,163633229,1332101,3328,7073,14864420,180938,5714557,56,207859894,1718351
"2020-12-06",274030,1145,31946,20145,2311,101501,585872,162301128,1115309,3322,7095,14683482,181196,5624609,56,206141543,1600291
"2020-12-05",272885,2480,31831,19947,3457,101192,583561,161185819,1507959,3321,7006,14502286,216678,5576152,56,204541252,2209525
"2020-12-04",270405,2573,31608,19858,4652,101276,580104,159677860,1280988,3305,6999,14285608,229192,5470389,56,202331727,1900538
