Date,CAC_Open,CAC_High,CAC_Low,CAC_Close,CAC_Adj_Close,CAC_Volume
2/21/2020,25.429001,25.604,25.363001,25.459999,25.459999,594
2/24/2020,24.733999,24.733999,24.35,24.445,24.445,32113
2/25/2020,24.587,24.587,23.968,23.968,23.968,50195
2/26/2020,23.848,24.042,23.382,24.004999,24.004999,113254
2/27/2020,23.483,23.67,22.893999,23.214001,23.214001,61359
2/28/2020,22.476,22.695999,22.17,22.452,22.452,80538
3/2/2020,22.867001,22.868,22,22.558001,22.558001,34440
3/3/2020,22.955999,23.297001,22.849001,22.923,22.923,73528
3/4/2020,22.749001,23.18,22.728001,23.139999,23.139999,58180
3/5/2020,23.186001,23.186001,22.59,22.687,22.687,19177
3/6/2020,22.284,22.323999,21.683001,21.754999,21.754999,58515
3/9/2020,20.051001,20.530001,19.871,20,20,106572
3/10/2020,20.222,20.76,19.615999,19.615999,19.615999,54742
3/11/2020,19.974001,20.055,19.528999,19.528999,19.528999,6399
3/12/2020,18.385,18.577,17.200001,17.41,17.41,57442
3/13/2020,17.983999,18.688,16.938,17.343,17.343,26953
3/16/2020,16.559999,16.775999,15.543,16.448999,16.448999,47911
3/17/2020,17.26,17.26,16.184999,16.976,16.976,33654
3/18/2020,16.542999,16.542999,15.826,15.826,15.826,17574
3/19/2020,16.247,16.570999,15.76,16.297001,16.297001,37580
3/20/2020,17.388,17.476,16.927,17.007,17.007,47797
3/23/2020,16.333,17.445,16.333,16.552,16.552,36036
3/24/2020,17.368999,17.85,17.105,17.85,17.85,14482
3/25/2020,18.417,18.874001,17.913,18.757999,18.757999,60079
3/26/2020,18.384001,19.184,18.219,19.184,19.184,51524
3/27/2020,18.841,18.858,18.174999,18.285,18.285,51738
3/30/2020,18.469999,18.552999,17.9,18.552999,18.552999,13774
3/31/2020,18.747999,18.910999,18.399,18.617001,18.617001,28740
4/1/2020,18.018,18.058001,17.799999,17.827,17.827,5502
4/2/2020,17.943001,18.035999,17.528,17.907,17.907,34776
4/3/2020,17.844,17.844,17.6,17.615999,17.615999,1633
4/6/2020,18.254,18.408001,18.1,18.379999,18.379999,14251
4/7/2020,19.02,19.215,18.653999,18.804001,18.804001,10735
4/8/2020,18.596001,18.792,18.4,18.792,18.792,41102
4/9/2020,19.083,19.209999,18.722,19.052,19.052,20796
4/14/2020,19.200001,19.389999,19.059999,19.152,19.152,53251
4/15/2020,19.132,19.132,18.450001,18.450001,18.450001,6937
4/16/2020,18.65,18.667,18.261,18.41,18.41,2456
4/17/2020,19.004999,19.225,18.952999,19.024,19.024,65546
4/20/2020,19.115999,19.181999,18.75,19.181999,19.181999,20190
4/21/2020,18.969,18.969,18.475,18.475,18.475,9215
4/22/2020,18.511999,18.688999,18.5,18.688999,18.688999,16297
4/23/2020,18.813,18.950001,18.666,18.84,18.84,19431
4/24/2020,18.566,18.799999,18.5,18.611,18.611,7212
4/27/2020,18.971001,19.052,18.878,19.052,19.052,7351
4/28/2020,19.107,19.490999,19.046,19.337999,19.337999,5626
